order_id,customer_id,order_date,status,ship_date,delivered_date,ship_country,carrier_id,carrier,promotion_id,items_count,subtotal,shipping_cost,total
ORD-0000001,CUST-004103,2024-07-28,delivered,2024-07-29,2024-08-03,BR,CARR-006,Sedex,,1,47.00,7.80,54.80
ORD-0000002,CUST-001126,2026-01-13,delivered,2026-01-15,2026-01-19,US,CARR-001,UPS,,3,1213.00,5.64,1218.64
ORD-0000003,CUST-000062,2024-09-05,shipped,2024-09-08,,MX,CARR-005,Correios,,4,4452.00,22.20,4474.20
ORD-0000004,CUST-000567,2025-11-26,delivered,2025-11-27,2025-12-07,US,CARR-001,UPS,,1,1245.00,13.93,1258.93
ORD-0000005,CUST-004014,2025-01-28,delivered,2025-01-30,2025-02-07,BR,CARR-005,Correios,,3,1381.00,12.49,1393.49
ORD-0000006,CUST-002253,2025-09-18,shipped,2025-09-22,,CA,CARR-007,Royal Mail,,3,1509.00,20.17,1529.17
ORD-0000007,CUST-004176,2026-02-17,cancelled,,,CA,,,,1,17.00,26.66,43.66
ORD-0000008,CUST-000113,2024-12-11,shipped,2024-12-15,,CA,CARR-007,Royal Mail,,2,155.00,26.63,181.63
ORD-0000009,CUST-003078,2025-04-24,cancelled,,,BR,,,,2,2154.00,18.61,2172.61
ORD-0000010,CUST-004525,04/04/2024,delivered,2024-04-07,2024-04-13,GB,CARR-003,USPS,,3,2203.00,30.23,2233.23
ORD-0000011,CUST-004910,2024-09-25,delivered,2024-09-29,2024-10-04,CA,CARR-004,DHL,,1,51.00,9.35,60.35
ORD-0000012,CUST-000858,2023-06-07,shipped,2023-06-08,,PT,CARR-009,Aramex,,1,114.00,31.47,145.47
ORD-0000013,CUST-000631,2025-10-23,shipped,2025-10-25,,DE,CARR-005,Correios,,2,509.00,24.81,533.81
ORD-0000014,CUST-002162,2024-12-15,cancelled,,,DE,,,,2,146.00,33.37,179.37
ORD-0000015,CUST-003709,2025-12-30,processing,,,BR,CARR-009,Aramex,,3,1239.00,21.17,1260.17
ORD-0000016,CUST-002236,2025-10-27,returned,2025-10-28,2025-10-30,GB,CARR-002,FedEx,,2,2394.00,31.00,2425.00
ORD-0000017,CUST-004585,2025-12-03,processing,,,BR,CARR-005,Correios,,4,803.00,19.77,822.77
ORD-0000018,CUST-004037,2024-12-10,delivered,2024-12-14,2024-12-16,DE,CARR-002,FedEx,,1,417.00,11.89,428.89
ORD-0000019,CUST-003518,2022-11-29,processing,,,US,CARR-001,UPS,,1,60.00,23.32,83.32
ORD-0000020,CUST-002299,2023-01-03,delivered,2023-01-05,2023-01-10,US,CARR-003,USPS,,1,780.00,33.18,813.18
ORD-0000021,CUST-000944,2025-08-03,delivered,2025-08-05,2025-08-13,BR,CARR-005,Correios,PROMO-0018,4,2281.00,31.98,2312.98
ORD-0000022,CUST-004640,2024-11-27,delivered,2024-11-30,2024-12-03,BR,CARR-002,FedEx,,1,1134.00,7.86,1141.86
ORD-0000023,CUST-003746,2024-10-14,shipped,2024-10-17,,GB,CARR-003,USPS,,3,961.00,12.65,973.65
ORD-0000024,CUST-003767,2025-11-21,shipped,2025-11-25,,ES,CARR-005,Correios,,4,473.00,31.26,504.26
ORD-0000025,CUST-003601,2023-06-20,processing,,,CA,CARR-008,Loomis,,2,1308.00,31.96,1339.96
ORD-0000026,CUST-000920,2023-11-25,shipped,2023-11-29,,PT,CARR-003,USPS,,1,264.00,26.20,290.20
ORD-0000027,CUST-003854,2024-11-28,shipped,2024-12-02,,BR,CARR-005,Correios,,4,898.00,20.04,918.04
ORD-0000028,CUST-003581,2026-04-01,delivered,2026-04-04,2026-04-08,BR,CARR-001,UPS,,1,607.00,14.09,621.09
ORD-0000029,CUST-001370,2024-02-10,delivered,2024-02-12,2024-02-21,PT,CARR-005,Correios,,2,627.00,14.48,641.48
ORD-0000030,CUST-003124,2023-11-20,delivered,2023-11-23,2023-11-26,CO,CARR-007,Royal Mail,,1,504.00,16.58,520.58
ORD-0000031,CUST-000096,2025-11-30,shipped,2025-12-02,,US,CARR-009,Aramex,,4,1285.00,1.52,1286.52
ORD-0000032,CUST-002225,2022-10-10,delivered,2022-10-14,2022-10-16,MX,CARR-002,FedEx,,4,1259.00,20.53,1279.53
ORD-0000033,CUST-002561,2022-07-25,delivered,2022-07-26,2022-08-08,DE,CARR-009,Aramex,,1,134.00,22.19,156.19
ORD-0000034,CUST-002519,2023-11-24,cancelled,,,BR,,,,3,410.00,16.79,426.79
ORD-0000035,CUST-000839,2022-11-22,returned,2022-11-24,2022-12-02,DE,CARR-004,DHL,,2,289.00,23.71,312.71
ORD-0000036,CUST-000195,2025-11-25,delivered,2025-11-29,2025-12-02,JP,CARR-002,FedEx,,3,1589.00,13.35,1602.35
ORD-0000037,CUST-001965,2025-12-17,delivered,2025-12-19,2025-12-25,CL,CARR-003,USPS,,1,574.00,15.25,589.25
ORD-0000038,CUST-004983,2025-11-28,returned,2025-11-30,2025-12-06,CO,CARR-008,Loomis,,2,3149.00,8.29,3157.29
ORD-0000039,CUST-001529,2024-10-15,cancelled,,,CL,,,,3,1612.00,5.94,1617.94
ORD-0000040,CUST-000152,2024-06-26,shipped,2024-06-27,,CA,CARR-007,Royal Mail,,1,354.00,25.83,379.83
ORD-0000041,CUST-004344,2024-01-21,delivered,2024-01-22,2024-01-27,FR,CARR-008,Loomis,,2,371.00,25.22,396.22
ORD-0000042,CUST-004950,2025-07-25,returned,2025-07-26,2025-07-31,MX,CARR-010,SF Express,,2,468.00,12.72,480.72
ORD-0000043,CUST-001971,07/12/2023,delivered,2023-12-11,2023-12-15,AU,CARR-004,DHL,,3,387.00,5.34,392.34
ORD-0000044,CUST-003516,2025-05-02,returned,2025-05-05,2025-05-11,BR,CARR-009,Aramex,,2,668.00,7.32,675.32
ORD-0000045,CUST-004951,2022-11-24,shipped,2022-11-26,,PT,CARR-006,Sedex,,1,104.00,13.48,117.48
ORD-0000046,CUST-002202,2022-07-30,returned,2022-08-02,2022-08-08,CA,CARR-009,Aramex,,2,359.00,7.32,366.32
ORD-0000047,CUST-004135,2024-11-11,cancelled,,,CA,,,,3,2374.00,18.08,2392.08
ORD-0000048,CUST-003049,2023-12-03,shipped,2023-12-06,,IT,CARR-004,DHL,,3,1907.00,0.83,1907.83
ORD-0000049,CUST-004680,2023-11-20,returned,2023-11-24,2023-11-29,PT,CARR-010,SF Express,,4,3902.00,21.03,3923.03
ORD-0000050,CUST-000154,2025-12-18,delivered,2025-12-19,2025-12-24,CA,CARR-006,Sedex,,2,867.00,16.63,883.63
