payment_id,order_id,method,status,amount,currency,paid_at
PAY-0000001,ORD-0000001,credit_card,captured,54.80,USD,2024-07-28 14:25:51
PAY-0000002,ORD-0000002,debit_card,captured,1218.64,USD,2026-01-13 15:03:00
PAY-0000003,ORD-0000003,credit_card,chargeback,4474.20,USD,2024-09-05 22:28:48
PAY-0000004,ORD-0000004,apple_pay,captured,1258.93,USD,2025-11-26 08:52:42
PAY-0000005,ORD-0000005,paypal,captured,1393.49,USD,2025-01-28 21:03:16
PAY-0000006,ORD-0000006,debit_card,captured,1529.17,USD,2025-09-18 12:46:27
PAY-0000007,ORD-0000007,crypto,refunded,43.66,USD,2026-02-17 22:18:48
PAY-0000008,ORD-0000008,credit_card,captured,181.63,USD,2024-12-11 12:41:09
PAY-0000009,ORD-0000009,credit_card,refunded,2172.61,USD,2025-04-24 22:51:40
PAY-0000010,ORD-0000010,boleto,captured,2233.23,USD,2024-04-04 21:43:10
PAY-0000011,ORD-0000011,google_pay,captured,60.35,USD,2024-09-25 17:52:56
PAY-0000012,ORD-0000012,paypal,captured,145.47,USD,2023-06-07 01:20:51
PAY-0000013,ORD-0000013,credit_card,captured,533.81,USD,2025-10-23 03:20:32
PAY-0000014,ORD-0000014,credit_card,refunded,179.37,USD,2024-12-15 10:53:34
PAY-0000015,ORD-0000015,credit_card,captured,1260.17,USD,2025-12-30 06:35:35
PAY-0000016,ORD-0000016,paypal,captured,2425.00,USD,2025-10-28 00:44:20
PAY-0000017,ORD-0000017,credit_card,captured,822.77,USD,2025-12-03 01:00:54
PAY-0000018,ORD-0000018,apple_pay,captured,428.89,USD,2024-12-10 19:46:58
PAY-0000019,ORD-0000019,debit_card,captured,83.32,USD,2022-11-29 04:57:07
PAY-0000020,ORD-0000020,debit_card,captured,813.18,USD,2023-01-03 04:42:00
PAY-0000021,ORD-0000021,credit_card,captured,2312.98,USD,2025-08-03 14:55:49
PAY-0000022,ORD-0000022,paypal,captured,1141.86,USD,2024-11-27 08:51:04
PAY-0000023,ORD-0000023,pix,captured,973.65,USD,2024-10-14 13:01:41
PAY-0000024,ORD-0000024,boleto,captured,504.26,USD,2025-11-21 03:20:48
PAY-0000025,ORD-0000025,apple_pay,captured,1339.96,USD,2023-06-20 10:55:53
PAY-0000026,ORD-0000026,credit_card,captured,290.20,USD,2023-11-25 06:22:17
PAY-0000027,ORD-0000027,credit_card,captured,918.04,USD,2024-11-28 08:55:19
PAY-0000028,ORD-0000028,debit_card,captured,621.09,USD,2026-04-01 12:40:59
PAY-0000029,ORD-0000029,debit_card,captured,641.48,USD,2024-02-10 20:28:54
PAY-0000030,ORD-0000030,google_pay,captured,520.58,USD,2023-11-20 13:19:57
PAY-0000031,ORD-0000031,pix,failed,1286.52,USD,2025-11-30 09:15:27
PAY-0000032,ORD-0000032,credit_card,captured,1279.53,USD,2022-10-10 00:58:04
PAY-0000033,ORD-0000033,credit_card,captured,156.19,USD,2022-07-25 03:11:38
PAY-0000034,ORD-0000034,debit_card,refunded,426.79,USD,2023-11-24 21:45:22
PAY-0000035,ORD-0000035,boleto,captured,312.71,USD,2022-11-22 15:24:54
PAY-0000036,ORD-0000036,credit_card,captured,1602.35,USD,2025-11-25 14:32:16
PAY-0000037,ORD-0000037,boleto,captured,589.25,USD,2025-12-17 04:16:18
PAY-0000038,ORD-0000038,crypto,captured,3157.29,USD,2025-11-28 13:14:22
PAY-0000039,ORD-0000039,paypal,refunded,1617.94,USD,2024-10-15 18:10:37
PAY-0000040,ORD-0000040,paypal,captured,379.83,USD,2024-06-26 21:06:37
PAY-0000041,ORD-0000041,apple_pay,captured,396.22,USD,2024-01-22 00:14:06
PAY-0000042,ORD-0000042,apple_pay,captured,480.72,USD,2025-07-25 17:09:59
PAY-0000043,ORD-0000043,pix,captured,392.34,USD,2023-12-07 03:07:53
PAY-0000044,ORD-0000044,credit_card,captured,675.32,USD,2025-05-02 04:42:38
PAY-0000045,ORD-0000045,apple_pay,captured,117.48,USD,2022-11-24 16:28:58
PAY-0000046,ORD-0000046,paypal,captured,366.32,USD,2022-07-30 12:04:11
PAY-0000047,ORD-0000047,credit_card,refunded,2392.08,USD,2024-11-11 10:13:09
