return_id,order_id,return_date,reason,refund_amount,category_primary,ship_region,processed
RET-0000001,ORD-0000016,2025-11-04,quality_issue,2425.00,Beauty & Personal Care,Europe,true
RET-0000002,ORD-0000021,2025-08-16,arrived_late,2312.98,Sports & Outdoors,LATAM,true
RET-0000003,ORD-0000028,2026-04-26,changed_mind,621.09,Automotive Parts,LATAM,true
RET-0000004,ORD-0000029,2024-02-26,color_different,641.48,Fashion,Europe,true
RET-0000005,ORD-0000030,2023-12-17,color_different,520.58,Fashion,LATAM,true
RET-0000006,ORD-0000035,2022-12-13,not_as_described,312.71,Beauty & Personal Care,Europe,true
RET-0000007,ORD-0000038,2025-12-28,not_as_described,3157.29,Electronics,LATAM,true
RET-0000008,ORD-0000042,2025-08-09,changed_mind,240.36,Books,North America,true
RET-0000009,ORD-0000044,2025-05-19,arrived_late,675.32,Toys & Games,LATAM,true
RET-0000010,ORD-0000046,2022-08-21,not_as_described,366.32,Health & Wellness,North America,true
RET-0000011,ORD-0000049,2023-12-16,wrong_item,3923.03,Beauty & Personal Care,Europe,true
RET-0000012,ORD-0000060,2024-01-21,damaged,2015.62,Automotive Parts,North America,true
RET-0000013,ORD-0000062,2024-01-16,not_as_described,1961.07,Electronics,Europe,true
RET-0000014,ORD-0000064,2025-02-12,changed_mind,836.59,Automotive Parts,North America,true
RET-0000015,ORD-0000070,2023-02-05,arrived_late,112.75,Toys & Games,Europe,true
RET-0000016,ORD-0000080,2023-12-15,not_as_described,883.93,Toys & Games,North America,false
RET-0000017,ORD-0000081,2023-12-29,damaged,2080.04,Books,LATAM,true
RET-0000018,ORD-0000083,2024-04-04,wrong_item,939.28,Home & Kitchen,North America,true
RET-0000019,ORD-0000084,2025-01-12,changed_mind,1848.48,Sports & Outdoors,North America,true
RET-0000020,ORD-0000098,2025-09-20,quality_issue,567.31,Home & Kitchen,Europe,true
RET-0000021,ORD-0000117,2024-12-05,changed_mind,436.76,Fashion,LATAM,true
RET-0000022,ORD-0000124,2026-03-31,wrong_item,90.03,Beauty & Personal Care,Europe,true
RET-0000023,ORD-0000128,2026-01-03,quality_issue,822.21,Fashion,LATAM,true
RET-0000024,ORD-0000130,2023-12-04,size_mismatch,4915.91,Fashion,North America,false
RET-0000025,ORD-0000135,2024-12-26,color_different,1124.06,Fashion,Europe,true
RET-0000026,ORD-0000147,2022-12-10,arrived_late,198.26,Toys & Games,Europe,false
RET-0000027,ORD-0000164,2022-04-13,not_as_described,861.62,Health & Wellness,North America,true
RET-0000028,ORD-0000175,2025-03-25,not_as_described,380.57,Electronics,Europe,false
RET-0000029,ORD-0000178,2022-12-26,not_as_described,279.55,Home & Kitchen,APAC,true
RET-0000030,ORD-0000183,2025-01-30,arrived_late,876.78,Beauty & Personal Care,Europe,true
RET-0000031,ORD-0000189,2024-09-21,arrived_late,1326.48,Toys & Games,Europe,true
RET-0000032,ORD-0000191,2023-12-23,defective,1659.17,Electronics,North America,true
RET-0000033,ORD-0000195,2023-12-12,changed_mind,616.49,Fashion,North America,true
RET-0000034,ORD-0000196,2022-08-31,size_mismatch,949.86,Fashion,LATAM,true
RET-0000035,ORD-0000205,2024-12-24,changed_mind,1620.19,Books,LATAM,false
RET-0000036,ORD-0000207,2022-04-24,not_as_described,1364.00,Sports & Outdoors,APAC,true
RET-0000037,ORD-0000213,2025-07-19,changed_mind,412.30,Books,LATAM,false
RET-0000038,ORD-0000216,2023-01-10,quality_issue,162.18,Automotive Parts,North America,true
RET-0000039,ORD-0000222,2023-12-25,quality_issue,203.88,Beauty & Personal Care,Europe,true
RET-0000040,ORD-0000225,2022-11-05,damaged,447.23,Sports & Outdoors,Europe,true
RET-0000041,ORD-0000232,2025-12-04,changed_mind,1146.39,Toys & Games,LATAM,true
RET-0000042,ORD-0000239,2023-03-27,defective,2225.13,Electronics,Europe,true
RET-0000043,ORD-0000241,2025-12-31,arrived_late,1435.96,Electronics,LATAM,false
RET-0000044,ORD-0000245,2025-08-24,color_different,815.08,Fashion,LATAM,true
RET-0000045,ORD-0000250,2024-12-17,changed_mind,1299.77,Sports & Outdoors,APAC,true
RET-0000046,ORD-0000253,2024-10-15,not_as_described,3454.81,Electronics,North America,true
RET-0000047,ORD-0000284,2026-01-02,wrong_item,2419.05,Automotive Parts,Europe,true
RET-0000048,ORD-0000290,2025-05-05,wrong_item,450.08,Health & Wellness,North America,true
RET-0000049,ORD-0000291,2025-03-14,changed_mind,1301.66,Health & Wellness,Europe,true
RET-0000050,ORD-0000293,2026-01-28,damaged,1563.81,Sports & Outdoors,North America,true
RET-0000051,ORD-0000296,2024-01-21,wrong_item,40.37,Beauty & Personal Care,LATAM,false
RET-0000052,ORD-0000330,2024-04-16,wrong_item,1451.44,Beauty & Personal Care,Europe,true
RET-0000053,ORD-0000332,2025-01-06,defective,744.09,Electronics,LATAM,true
RET-0000054,ORD-0000341,2024-12-10,size_mismatch,77.50,Fashion,Europe,false
RET-0000055,ORD-0000343,2023-02-15,size_mismatch,578.72,Fashion,North America,true
RET-0000056,ORD-0000351,2023-08-05,wrong_item,205.35,Home & Kitchen,LATAM,true
RET-0000057,ORD-0000354,2024-05-31,not_as_described,141.06,Sports & Outdoors,North America,false
RET-0000058,ORD-0000356,2025-12-23,defective,3494.36,Electronics,North America,true
RET-0000059,ORD-0000359,2022-04-26,wrong_item,989.90,Beauty & Personal Care,LATAM,true
RET-0000060,ORD-0000369,2023-03-02,size_mismatch,1422.72,Fashion,North America,true
RET-0000061,ORD-0000370,2022-12-18,changed_mind,397.28,Automotive Parts,Europe,true
RET-0000062,ORD-0000371,2022-05-26,arrived_late,661.66,Automotive Parts,North America,true
RET-0000063,ORD-0000372,2023-08-20,damaged,85.64,Beauty & Personal Care,North America,true
RET-0000064,ORD-0000376,2025-01-09,damaged,878.87,Sports & Outdoors,APAC,true
RET-0000065,ORD-0000380,2024-12-11,size_mismatch,460.50,Fashion,North America,true
RET-0000066,ORD-0000382,2025-12-20,changed_mind,1576.85,Books,APAC,true
RET-0000067,ORD-0000391,2025-06-05,damaged,883.36,Beauty & Personal Care,LATAM,true
RET-0000068,ORD-0000395,2023-11-24,changed_mind,750.34,Beauty & Personal Care,Europe,true
RET-0000069,ORD-0000397,2026-01-09,not_as_described,1418.21,Beauty & Personal Care,LATAM,true
RET-0000070,ORD-0000408,2023-12-25,wrong_item,3321.90,Sports & Outdoors,Europe,true
RET-0000071,ORD-0000410,2024-08-07,wrong_item,1933.54,Beauty & Personal Care,North America,true
RET-0000072,ORD-0000434,2024-07-30,size_mismatch,1264.05,Fashion,APAC,true
RET-0000073,ORD-0000435,2024-10-12,quality_issue,482.19,Automotive Parts,Europe,true
RET-0000074,ORD-0000437,2022-08-25,size_mismatch,231.54,Fashion,Europe,true
RET-0000075,ORD-0000441,2024-12-16,damaged,390.27,Books,North America,true
RET-0000076,ORD-0000446,2023-04-28,changed_mind,1843.80,Fashion,North America,true
RET-0000077,ORD-0000449,2022-06-21,damaged,943.14,Sports & Outdoors,APAC,true
RET-0000078,ORD-0000457,2023-12-07,changed_mind,401.14,Books,Europe,false
RET-0000079,ORD-0000458,2024-11-24,quality_issue,422.82,Toys & Games,North America,true
RET-0000080,ORD-0000462,2024-12-13,damaged,4544.29,Automotive Parts,Europe,true
RET-0000081,ORD-0000473,2026-01-12,quality_issue,82.71,Toys & Games,LATAM,true
RET-0000082,ORD-0000482,2025-12-27,arrived_late,694.92,Fashion,LATAM,true
RET-0000083,ORD-0000484,2023-07-26,quality_issue,2220.77,Electronics,North America,true
RET-0000084,ORD-0000494,2023-12-29,quality_issue,4023.04,Fashion,LATAM,true
RET-0000085,ORD-0000502,2025-12-07,wrong_item,735.32,Books,LATAM,true
RET-0000086,ORD-0000510,2025-01-21,not_as_described,1607.75,Electronics,Europe,true
RET-0000087,ORD-0000512,2022-11-26,not_as_described,2218.86,Automotive Parts,Europe,true
RET-0000088,ORD-0000517,2026-02-28,arrived_late,220.59,Health & Wellness,North America,true
RET-0000089,ORD-0000519,2024-12-17,wrong_item,1212.96,Home & Kitchen,LATAM,true
RET-0000090,ORD-0000522,2025-02-11,changed_mind,1812.54,Books,North America,true
RET-0000091,ORD-0000524,2022-02-05,wrong_item,549.17,Toys & Games,North America,true
RET-0000092,ORD-0000527,2022-12-28,changed_mind,1451.94,Automotive Parts,North America,true
RET-0000093,ORD-0000530,2023-12-14,damaged,871.67,Sports & Outdoors,Europe,true
RET-0000094,ORD-0000535,2022-12-30,changed_mind,1995.84,Fashion,North America,true
RET-0000095,ORD-0000538,2025-09-19,changed_mind,153.09,Toys & Games,LATAM,true
RET-0000096,ORD-0000539,2025-11-10,quality_issue,1551.79,Automotive Parts,North America,true
RET-0000097,ORD-0000542,2025-12-13,color_different,349.10,Fashion,Europe,true
RET-0000098,ORD-0000544,2025-05-15,color_different,2014.51,Fashion,Europe,true
RET-0000099,ORD-0000545,2024-12-21,wrong_item,494.55,Books,North America,true
RET-0000100,ORD-0000560,2024-12-31,not_as_described,1499.87,Sports & Outdoors,Europe,true
RET-0000101,ORD-0000563,2025-12-08,quality_issue,1495.63,Sports & Outdoors,North America,true
RET-0000102,ORD-0000564,2024-10-19,damaged,416.45,Toys & Games,North America,true
RET-0000103,ORD-0000578,2024-12-15,not_as_described,996.99,Electronics,Europe,true
RET-0000104,ORD-0000580,2022-12-21,wrong_item,110.34,Beauty & Personal Care,LATAM,true
RET-0000105,ORD-0000594,2023-10-04,damaged,103.65,Books,Europe,true
RET-0000106,ORD-0000598,2024-12-13,changed_mind,338.06,Books,North America,false
