review_id,order_id,customer_id,rating,title,body,review_date,verified_purchase
REV-0000001,ORD-0001037,CUST-002017,5,Excellent,"Five stars, would recommend.",2026-01-19,true
REV-0000002,ORD-0006566,CUST-004403,4,Quality issue,"Five stars, would recommend.",2024-01-26,true
REV-0000003,ORD-0002604,CUST-001386,5,Highly recommend,Not worth the price.,2025-09-25,true
REV-0000004,ORD-0003145,CUST-003855,5,Could be better,Item was different from the photos.,2025-12-16,true
REV-0000005,ORD-0002136,CUST-004570,5,Disappointed,Shipping took longer than promised.,2024-08-01,true
REV-0000006,ORD-0001697,CUST-003637,1,Loved it!,"Five stars, would recommend.",2024-08-26,true
REV-0000007,ORD-0003576,CUST-001821,4,Disappointed,Not worth the price.,2022-03-29,true
REV-0000008,ORD-0001208,CUST-001799,5,Not what I expected,Customer service was very responsive.,2025-12-14,true
REV-0000009,ORD-0003088,CUST-003313,1,Would buy again,"Five stars, would recommend.",2022-08-02,true
REV-0000010,ORD-0006199,CUST-001533,5,Highly recommend,Shipping took longer than promised.,2022-05-19,true
REV-0000011,ORD-0003803,CUST-003002,5,Quality issue,Arrived on time and matches the description.,2026-04-15,true
REV-0000012,ORD-0002236,CUST-003004,5,Would buy again,Better than I expected for the price.,2024-08-04,true
REV-0000013,ORD-0004776,CUST-001090,5,Disappointed,Arrived on time and matches the description.,2024-02-01,true
REV-0000014,ORD-0000488,CUST-004971,5,Returned,Shipping took longer than promised.,2025-01-07,true
REV-0000015,ORD-0006474,CUST-003342,5,Could be better,Shipping took longer than promised.,2025-11-01,true
REV-0000016,ORD-0001359,CUST-002198,4,Highly recommend,Build quality is excellent.,2024-04-11,true
REV-0000017,ORD-0003922,CUST-002628,4,Highly recommend,Customer service was very responsive.,2025-05-02,true
REV-0000018,ORD-0005916,CUST-002240,5,Disappointed,"Average quality, decent value.",2025-06-26,true
REV-0000019,ORD-0002691,CUST-002319,2,Highly recommend,"Damaged when it arrived, returned right away.",2025-10-11,true
REV-0000020,ORD-0005311,CUST-002638,5,Would buy again,"Damaged when it arrived, returned right away.",2026-01-01,true
REV-0000021,ORD-0002745,CUST-003338,5,Not what I expected,Build quality is excellent.,2025-08-30,true
REV-0000022,ORD-0006423,CUST-004337,5,Great purchase,Not worth the price.,2024-12-15,true
REV-0000023,ORD-0000299,CUST-004052,5,Highly recommend,Build quality is excellent.,2023-09-18,true
REV-0000024,ORD-0003703,CUST-002841,5,Loved it!,Better than I expected for the price.,2025-01-23,true
REV-0000025,ORD-0003868,CUST-000970,1,Disappointed,"Damaged when it arrived, returned right away.",2023-12-29,true
REV-0000026,ORD-0003478,CUST-000850,4,Excellent,Customer service was very responsive.,2026-03-15,true
REV-0000027,ORD-0003059,CUST-004329,3,Loved it!,"Five stars, would recommend.",2023-08-06,true
REV-0000028,ORD-0006221,CUST-001611,5,Great purchase,Arrived on time and matches the description.,2022-08-12,true
REV-0000029,ORD-0000765,CUST-004915,4,Loved it!,"Average quality, decent value.",2025-07-15,true
REV-0000030,ORD-0005307,CUST-004253,3,Not what I expected,Not worth the price.,2025-12-10,true
REV-0000031,ORD-0006244,CUST-002626,4,Loved it!,Not worth the price.,2023-01-27,true
REV-0000032,ORD-0002164,CUST-001068,3,Highly recommend,"Damaged when it arrived, returned right away.",2024-01-18,true
REV-0000033,ORD-0005461,CUST-002296,5,Great purchase,"Five stars, would recommend.",2025-12-31,true
REV-0000034,ORD-0000251,CUST-002858,4,Disappointed,Customer service was very responsive.,2025-02-22,true
REV-0000035,ORD-0003927,CUST-003204,4,Disappointed,Item was different from the photos.,2024-11-10,true
REV-0000036,ORD-0000873,CUST-001247,5,Highly recommend,"Average quality, decent value.",2023-09-08,true
REV-0000037,ORD-0002907,CUST-000595,4,Loved it!,Item was different from the photos.,2025-01-03,true
REV-0000038,ORD-0001212,CUST-004611,4,Could be better,Item was different from the photos.,2022-10-08,true
REV-0000039,ORD-0006033,CUST-003428,1,Quality issue,"Damaged when it arrived, returned right away.",2024-12-22,true
REV-0000040,ORD-0004201,CUST-004342,5,Returned,"Average quality, decent value.",2023-07-20,true
REV-0000041,ORD-0003968,CUST-002136,4,Excellent,"Damaged when it arrived, returned right away.",2023-01-03,true
REV-0000042,ORD-0004362,CUST-001274,5,Disappointed,Build quality is excellent.,2025-12-20,true
REV-0000043,ORD-0004362,CUST-001274,5,Excellent,Customer service was very responsive.,2026-01-03,true
REV-0000044,ORD-0002297,CUST-000219,5,Highly recommend,"Damaged when it arrived, returned right away.",2026-01-12,true
REV-0000045,ORD-0006526,CUST-002511,4,Excellent,Item was different from the photos.,2025-02-19,true
REV-0000046,ORD-0002698,CUST-000177,5,Great purchase,"Average quality, decent value.",2024-06-30,true
REV-0000047,ORD-0004417,CUST-002052,4,Disappointed,Arrived on time and matches the description.,2024-12-16,true
REV-0000048,ORD-0001389,CUST-004042,1,Not what I expected,"Average quality, decent value.",2025-12-29,true
REV-0000049,ORD-0002897,CUST-004285,5,Highly recommend,"Average quality, decent value.",2025-01-26,true
REV-0000050,ORD-0000206,CUST-000095,4,Quality issue,Arrived on time and matches the description.,2026-02-02,true
REV-0000051,ORD-0000241,CUST-003425,1,Would buy again,Shipping took longer than promised.,2025-12-24,true
REV-0000052,ORD-0002951,CUST-001992,5,Not what I expected,Customer service was very responsive.,2025-03-31,true
REV-0000053,ORD-0000555,CUST-004623,3,Quality issue,Item was different from the photos.,2022-08-07,true
REV-0000054,ORD-0001750,CUST-001119,5,Excellent,Build quality is excellent.,2024-12-14,true
REV-0000055,ORD-0001583,CUST-003623,3,Excellent,Customer service was very responsive.,2023-11-30,true
