order_id,line_no,product_id,seller_id,quantity,unit_price,line_total
ORD-0000001,1,PROD-000143,SELLER-0185,2,443.00,886.00
ORD-0000001,2,PROD-000008,SELLER-0074,2,52.00,104.00
ORD-0000001,3,PROD-000228,SELLER-0025,2,19.00,38.00
ORD-0000001,4,PROD-000399,SELLER-0135,3,62.00,186.00
ORD-0000002,1,PROD-000198,SELLER-0066,1,56.00,56.00
ORD-0000003,1,PROD-000845,SELLER-0169,1,162.00,162.00
ORD-0000003,2,PROD-000543,SELLER-0109,1,222.00,222.00
ORD-0000003,3,PROD-000698,SELLER-0119,3,200.00,600.00
ORD-0000003,4,PROD-000513,SELLER-0078,3,152.00,456.00
ORD-0000004,1,PROD-000916,SELLER-0088,3,244.00,732.00
ORD-0000004,2,PROD-000746,SELLER-0052,1,543.00,543.00
ORD-0000004,3,PROD-000495,SELLER-0022,2,294.00,588.00
ORD-0000004,4,PROD-000591,SELLER-0079,1,576.00,576.00
ORD-0000005,1,PROD-000797,SELLER-0008,1,32.00,32.00
ORD-0000005,2,PROD-000953,SELLER-0160,1,162.00,162.00
ORD-0000005,3,PROD-000013,SELLER-0112,2,35.00,70.00
ORD-0000006,1,PROD-000938,SELLER-0041,2,517.00,1034.00
ORD-0000006,2,PROD-000680,SELLER-0172,1,138.00,138.00
ORD-0000006,3,PROD-000780,SELLER-0108,1,69.00,69.00
ORD-0000007,1,PROD-000239,SELLER-0192,3,195.00,585.00
ORD-0000007,2,PROD-000806,SELLER-0003,3,17.00,51.00
ORD-0000007,3,PROD-000372,SELLER-0092,3,21.00,63.00
ORD-0000008,1,PROD-000759,SELLER-0126,3,291.00,873.00
ORD-0000008,2,PROD-000607,SELLER-0200,1,704.00,704.00
ORD-0000008,3,PROD-000731,SELLER-0174,3,161.00,483.00
ORD-0000008,4,PROD-000231,SELLER-0049,2,23.00,46.00
ORD-0000009,1,PROD-000663,SELLER-0077,2,62.00,124.00
ORD-0000009,2,PROD-000194,SELLER-0083,2,74.00,148.00
ORD-0000009,3,PROD-000680,SELLER-0172,2,138.00,276.00
ORD-0000009,4,PROD-000974,SELLER-0071,1,52.00,52.00
ORD-0000010,1,PROD-000350,SELLER-0121,2,249.00,498.00
ORD-0000010,2,PROD-000120,SELLER-0129,1,19.00,19.00
ORD-0000010,3,PROD-000553,SELLER-0145,1,49.00,49.00
ORD-0000010,4,PROD-000510,SELLER-0044,2,902.00,1804.00
ORD-0000011,1,PROD-000755,SELLER_0101,3,301.00,903.00
ORD-0000012,1,PROD-000946,SELLER-0196,1,156.00,156.00
ORD-0000012,2,PROD-000031,SELLER-0075,3,83.00,249.00
ORD-0000013,1,PROD-000069,SELLER-0020,2,935.00,1870.00
ORD-0000013,2,PROD-000660,SELLER-0193,1,32.00,32.00
ORD-0000013,3,PROD-000313,SELLER-0141,1,75.00,75.00
ORD-0000013,4,PROD-000547,SELLER-0044,1,72.00,72.00
ORD-0000014,1,PROD-000464,SELLER-0011,2,48.00,96.00
ORD-0000015,1,PROD-000903,SELLER-9999,3,100.00,300.00
ORD-0000016,1,PROD-000774,SELLER-0040,2,124.00,248.00
ORD-0000016,2,PROD-000464,SELLER-0011,1,48.00,48.00
ORD-0000017,1,PROD-000529,SELLER-0168,2,244.00,488.00
ORD-0000017,2,PROD-000120,SELLER-0129,1,19.00,19.00
ORD-0000018,1,PROD-000138,SELLER-0076,1,223.00,223.00
ORD-0000018,2,PROD-000688,SELLER-0142,2,180.00,360.00
ORD-0000018,3,PROD-000365,SELLER-0174,3,41.00,123.00
ORD-0000019,1,PROD-000141,SELLER-0156,2,-784.00,-1568.00
ORD-0000019,2,PROD-000794,SELLER-0053,2,126.00,252.00
ORD-0000019,3,PROD-000593,SELLER-0031,3,55.00,165.00
ORD-0000020,1,PROD-000564,SELLER-0019,1,183.00,183.00
ORD-0000021,1,PROD-000138,SELLER-0076,2,223.00,446.00
ORD-0000022,1,PROD-000267,SELLER-0081,3,87.00,261.00
ORD-0000023,1,PROD-000731,SELLER-0174,2,161.00,322.00
ORD-0000023,2,PROD-000719,SELLER-0084,2,15.00,30.00
ORD-0000024,1,PROD-000544,SELLER-0011,1,463.00,463.00
ORD-0000024,2,PROD-000794,SELLER-0053,3,126.00,378.00
ORD-0000024,3,PROD-000700,SELLER-0142,1,502.00,502.00
ORD-0000025,1,PROD-000584,SELLER-0126,3,12.00,36.00
ORD-0000025,2,PROD-000618,SELLER-0079,3,95.00,285.00
ORD-0000025,3,PROD-000465,SELLER-0092,1,285.00,285.00
ORD-0000026,1,PROD-000215,SELLER-0163,3,1038.00,3114.00
ORD-0000026,2,PROD-000728,SELLER-0190,1,443.00,443.00
ORD-0000026,3,PROD-000356,SELLER-0161,2,9.00,18.00
ORD-0000027,1,PROD-000944,SELLER-0191,2,198.00,396.00
ORD-0000027,2,PROD-000173,SELLER-0059,1,53.00,53.00
ORD-0000027,3,PROD-000548,SELLER-0011,3,370.00,1110.00
ORD-0000027,4,PROD-000328,SELLER-0016,3,225.00,675.00
ORD-0000028,1,PROD-000123,SELLER-0005,3,32.00,96.00
ORD-0000028,2,PROD-000899,SELLER-0003,2,21.00,42.00
ORD-0000028,3,PROD-000150,SELLER-0115,3,233.00,699.00
ORD-0000028,4,PROD-000210,SELLER-0073,1,387.00,387.00
ORD-0000029,1,PROD-000943,SELLER-0108,2,210.00,420.00
ORD-0000030,1,PROD-000745,SELLER-0185,2,49.00,98.00
ORD-0000031,1,PROD-000865,SELLER-0091,3,1107.00,3321.00
ORD-0000031,2,PROD-000584,SELLER-0126,3,12.00,36.00
ORD-0000032,1,PROD-000219,SELLER_0187,2,82.00,164.00
ORD-0000032,2,PROD-000314,SELLER-0018,3,176.00,528.00
ORD-0000032,3,PROD-000355,SELLER_0187,1,337.00,337.00
ORD-0000033,1,PROD-000711,SELLER-0038,2,220.00,440.00
ORD-0000034,1,PROD-000612,SELLER-9999,3,34.00,102.00
ORD-0000034,2,PROD-000490,SELLER-0014,3,60.00,180.00
ORD-0000035,1,PROD-000932,SELLER-0035,2,160.00,320.00
ORD-0000035,2,PROD-000229,SELLER-0181,1,116.00,116.00
ORD-0000036,1,PROD-000493,SELLER-0147,1,50.00,50.00
ORD-0000036,2,PROD-000350,SELLER-0121,1,249.00,249.00
ORD-0000036,3,PROD-000177,SELLER-0085,1,652.00,652.00
ORD-0000036,4,PROD-000999,SELLER-0164,2,537.00,1074.00
ORD-0000037,1,PROD-000871,SELLER-0054,2,160.00,320.00
ORD-0000037,2,PROD-000070,SELLER_0132,1,149.00,149.00
ORD-0000037,3,PROD-000385,SELLER-0137,3,131.00,393.00
ORD-0000038,1,PROD-000866,SELLER-0036,3,180.00,540.00
ORD-0000039,1,PROD-000981,SELLER-0156,1,128.00,128.00
ORD-0000039,2,PROD-000703,SELLER-0147,3,189.00,567.00
ORD-0000039,3,PROD-000757,SELLER-0098,1,352.00,352.00
ORD-0000040,1,PROD-000616,SELLER-0091,1,1019.00,1019.00
ORD-0000041,1,PROD-000208,SELLER_0101,1,186.00,186.00
ORD-0000042,1,PROD-000689,SELLER-0152,1,31.00,31.00
ORD-0000042,2,PROD-000229,SELLER-0181,2,116.00,232.00
ORD-0000043,1,PROD-000959,SELLER-0122,1,218.00,218.00
ORD-0000044,1,PROD-000688,SELLER-0142,3,180.00,540.00
ORD-0000044,2,PROD-000518,SELLER-0104,2,992.00,1984.00
ORD-0000044,3,PROD-000270,SELLER-0066,2,620.00,1240.00
ORD-0000044,4,PROD-000799,SELLER-0067,3,76.00,228.00
ORD-0000045,1,PROD-000054,SELLER-0091,3,19.00,57.00
ORD-0000045,2,PROD-000626,SELLER-0085,2,56.00,112.00
ORD-0000045,3,PROD-000600,SELLER-0021,1,38.00,38.00
