order_id,customer_id,order_date,status,ship_date,delivered_date,ship_country,carrier_id,carrier,promotion_id,items_count,subtotal,shipping_cost,total
ORD-0000001,CUST-000614,2023-10-01,delivered,2023-10-02,2023-10-06,FR,CARR-006,Sedex,,4,1214.00,10.99,1224.99
ORD-0000002,CUST-000481,2024-11-24,cancelled,,,DE,,,,1,56.00,15.17,71.17
ORD-0000003,CUST-000593,2025-12-04,returned,2025-12-08,2025-12-23,AR,CARR-005,Correios,,4,1440.00,6.73,1446.73
ORD-0000004,CUST-000663,2025-02-26,processing,,,US,CARR-001,UPS,,4,2439.00,20.63,2459.63
ORD-0000005,CUST-000065,2023-10-31,delivered,2023-11-01,2023-11-03,FR,CARR-002,FedEx,,3,264.00,25.16,289.16
ORD-0000006,CUST-000062,2024-06-19,shipped,2024-06-20,,US,CARR-003,USPS,,3,1241.00,24.48,1265.48
ORD-0000007,CUST-000473,2023-11-24,shipped,2023-11-26,,US,CARR-001,UPS,,3,699.00,17.80,716.80
ORD-0000008,CUST-000074,2025-11-30,delivered,2025-12-01,2025-12-06,JP,CARR-010,SF Express,,4,2106.00,28.42,2134.42
ORD-0000009,CUST-000157,2024-11-23,shipped,2024-11-25,,CA,CARR-008,Loomis,,4,600.00,9.65,609.65
ORD-0000010,CUST-000077,2025-08-04,delivered,2025-08-06,2025-08-12,US,CARR-003,USPS,,4,2370.00,24.19,2394.19
ORD-0000011,CUST-000252,2024-08-14,delivered,2024-08-17,2024-08-25,DE,CARR-009,Aramex,,1,903.00,5.15,908.15
ORD-0000012,CUST-000214,2025-12-01,delivered,2025-12-05,2025-12-08,IT,CARR-007,Royal Mail,,2,405.00,5.13,410.13
ORD-0000013,CUST-000227,2023-10-31,delivered,2023-11-04,2023-11-07,CL,CARR-007,Royal Mail,,4,2049.00,10.41,2059.41
ORD-0000014,CUST-000403,2024-09-22,delivered,2024-09-23,2024-09-28,FR,CARR-004,DHL,,1,96.00,34.74,130.74
ORD-0000015,CUST-000632,2024-01-22,delivered,2024-01-23,2024-01-27,US,CARR-001,UPS,,1,300.00,8.33,308.33
ORD-0000016,CUST-000675,2025-04-29,delivered,2025-05-02,2025-05-06,AR,CARR-004,DHL,,2,296.00,9.49,305.49
ORD-0000017,CUST-000797,2023-12-01,delivered,2023-12-03,2023-12-08,CA,CARR-010,SF Express,,2,507.00,5.45,512.45
ORD-0000018,CUST-000581,2024-09-19,shipped,2024-09-20,,US,CARR-001,UPS,,3,706.00,11.73,717.73
ORD-0000019,CUST-000368,2024-12-03,delivered,2024-12-05,2024-12-14,US,CARR-010,SF Express,,3,-1151.00,28.98,-1122.02
ORD-0000020,CUST-000077,2024-11-30,delivered,2024-12-03,2024-12-06,US,CARR-001,UPS,,1,183.00,23.73,206.73
ORD-0000021,CUST-000271,2024-09-21,delivered,2024-09-25,2024-09-28,GB,CARR-001,UPS,,1,446.00,34.92,480.92
ORD-0000022,CUST-000109,2026-02-21,delivered,2026-02-23,2026-02-28,CA,CARR-004,DHL,,1,261.00,13.10,274.10
ORD-0000023,CUST-000735,04/12/2023,returned,2023-12-05,2023-12-08,AU,CARR-002,FedEx,,2,352.00,19.33,371.33
ORD-0000024,CUST-000060,2025-07-24,cancelled,,,IT,,,,3,1343.00,13.50,1356.50
ORD-0000025,CUST-000188,2023-04-07,delivered,2023-04-10,2023-04-14,US,CARR-001,UPS,,3,606.00,17.64,623.64
ORD-0000026,CUST-000508,2023-04-05,delivered,2023-04-09,2023-04-23,BR,CARR-005,Correios,,3,3575.00,14.68,3589.68
ORD-0000027,CUST-000199,2025-11-22,delivered,2025-11-25,2025-12-07,DE,CARR-003,USPS,,4,2234.00,34.67,2268.67
ORD-0000028,CUST-000342,2024-02-13,shipped,2024-02-17,,AR,CARR-005,Correios,,4,1224.00,5.74,1229.74
ORD-0000029,CUST-000502,2025-11-24,delivered,2025-11-27,2025-11-30,US,CARR-002,FedEx,,1,420.00,34.54,454.54
ORD-0000030,CUST-000519,2024-12-01,delivered,2024-12-04,2024-12-08,FR,CARR-007,Royal Mail,,1,98.00,28.69,126.69
ORD-0000031,CUST-000330,2024-11-20,delivered,2024-11-23,2024-11-28,US,CARR-003,USPS,,2,3357.00,32.32,3389.32
ORD-0000032,CUST-000171,2023-11-25,processing,,,US,CARR-009,Aramex,,3,1029.00,0.71,1029.71
ORD-0000033,CUST-000267,2023-10-17,delivered,2023-10-21,2023-10-26,US,CARR-003,USPS,,1,440.00,31.71,471.71
ORD-0000034,CUST-000572,2025-03-30,shipped,2025-04-03,,US,CARR-010,SF Express,,2,282.00,11.43,293.43
ORD-0000035,CUST-000213,2024-11-20,delivered,2024-11-23,2024-11-27,JP,CARR-006,Sedex,,2,436.00,7.82,443.82
ORD-0000036,CUST-000528,2023-03-23,shipped,2023-03-26,,AR,CARR-010,SF Express,,4,2025.00,20.28,2045.28
ORD-0000037,CUST-000161,2023-11-26,delivered,2023-11-27,2023-12-01,AU,CARR-001,UPS,,3,862.00,35.28,897.28
ORD-0000038,CUST-000288,2025-12-26,cancelled,,,BR,,,,1,540.00,16.84,556.84
ORD-0000039,CUST-000698,2023-12-01,delivered,2023-12-04,2023-12-13,CA,CARR-005,Correios,,3,1047.00,28.64,1075.64
ORD-0000040,CUST-000263,2024-05-02,delivered,2024-05-06,2024-05-09,JP,CARR-001,UPS,,1,1019.00,26.46,1045.46
ORD-0000041,CUST-000154,2023-06-22,delivered,2023-06-26,2023-07-04,US,CARR-005,Correios,,1,186.00,32.57,218.57
ORD-0000042,CUST-000103,2023-06-11,returned,2023-06-12,2023-06-18,BR,CARR-008,Loomis,,2,263.00,30.68,293.68
ORD-0000043,CUST-000511,2025-01-04,delivered,2025-01-05,2025-01-10,DE,CARR-004,DHL,,1,218.00,20.16,238.16
ORD-0000044,CUST-000721,2023-03-19,shipped,2023-03-21,,AU,CARR-004,DHL,,4,3992.00,25.10,4017.10
ORD-0000045,CUST-000724,2023-10-22,delivered,2023-10-24,2023-10-26,US,CARR-002,FedEx,,4,295.00,14.57,309.57
ORD-0000046,CUST-000244,2025-12-03,delivered,2025-12-05,2025-12-09,IT,CARR-001,UPS,,1,894.00,9.14,903.14
ORD-0000047,CUST-000073,2025-07-16,processing,,,MX,CARR-008,Loomis,,1,14.00,2.51,16.51
ORD-0000048,CUST-000106,2024-06-11,shipped,2024-06-14,,CL,CARR-010,SF Express,,2,274.00,7.25,281.25
ORD-0000049,CUST-000363,2025-08-05,processing,,,US,CARR-002,FedEx,,1,918.00,7.96,925.96
ORD-0000050,CUST-000735,2024-03-15,delivered,2024-03-18,2024-03-24,AU,CARR-002,FedEx,,1,178.00,7.04,185.04
ORD-0000051,CUST-000219,2024-08-22,delivered,2024-08-23,2024-08-29,AU,CARR-003,USPS,,2,1898.00,14.81,1912.81
ORD-0000052,CUST-000548,2025-11-26,delivered,2025-11-27,2025-12-02,IT,CARR-010,SF Express,,4,1848.00,15.77,1863.77
ORD-0000053,CUST-000065,2025-03-01,processing,,,FR,CARR-008,Loomis,,1,298.00,25.89,323.89
ORD-0000054,CUST-000054,2025-11-30,delivered,2025-12-01,2025-12-05,GB,CARR-010,SF Express,,1,100.00,26.93,126.93
ORD-0000055,CUST-000093,2025-09-03,processing,,,MX,CARR-001,UPS,,3,638.00,33.57,671.57
ORD-0000056,CUST-000016,2025-11-28,delivered,2025-12-01,2025-12-05,MX,CARR-004,DHL,,5,1066.00,4.35,1070.35
ORD-0000057,CUST-000557,2023-01-06,delivered,2023-01-07,2023-01-11,CO,CARR-006,Sedex,,4,1376.00,7.05,1383.05
ORD-0000058,CUST-000134,2024-09-18,delivered,2024-09-22,2024-09-29,FR,CARR-009,Aramex,,4,792.00,15.41,807.41
ORD-0000059,CUST-000657,2024-05-03,delivered,2024-05-07,2024-05-11,AR,CARR-001,UPS,,3,754.00,24.47,778.47
ORD-0000060,CUST-000291,2023-10-17,returned,2023-10-20,2023-10-25,BR,CARR-006,Sedex,,4,516.00,26.40,542.40
ORD-0000061,CUST-000589,2023-11-22,delivered,2023-11-25,2023-12-03,BR,CARR-005,Correios,,3,1617.00,33.61,1650.61
ORD-0000062,CUST-000522,2023-06-21,delivered,2023-06-22,2023-06-26,CL,CARR-004,DHL,,4,3881.00,14.04,3895.04
ORD-0000063,CUST-000112,2023-11-30,cancelled,,,JP,,,,4,1123.00,22.43,1145.43
ORD-0000064,CUST-000630,17/11/2023,shipped,2023-11-21,,ES,CARR-005,Correios,,2,1118.00,28.41,1146.41
ORD-0000065,CUST-000774,2024-01-16,shipped,2024-01-20,,CO,CARR-008,Loomis,,1,233.00,3.69,236.69
ORD-0000066,CUST-000191,2024-02-28,delivered,2024-03-01,2024-03-03,CA,CARR-002,FedEx,,3,895.00,9.72,904.72
ORD-0000067,CUST-000401,2025-11-21,cancelled,,,CA,,,,4,3345.00,21.31,3366.31
ORD-0000068,CUST-000718,2025-01-01,delivered,2025-01-05,2025-01-10,AR,CARR-008,Loomis,,2,147.00,7.77,154.77
ORD-0000069,CUST-000660,2026-03-27,delivered,2026-03-29,2026-04-05,ES,CARR-009,Aramex,,4,1903.00,23.41,1926.41
ORD-0000070,CUST-000594,2023-01-20,delivered,2023-01-22,2023-01-25,US,CARR-001,UPS,,4,2215.00,14.09,2229.09
ORD-0000071,CUST-000797,2023-08-06,processing,,,CA,CARR-006,Sedex,,2,732.00,14.52,746.52
ORD-0000072,CUST-000601,2025-11-24,delivered,2025-11-26,2025-11-30,US,CARR-001,UPS,,3,1877.00,26.59,1903.59
ORD-0000073,CUST-000301,2023-04-07,cancelled,,,US,,,,3,1647.00,31.85,1678.85
ORD-0000074,CUST-000383,2024-12-21,delivered,2024-12-24,2024-12-30,FR,CARR-009,Aramex,,3,1391.00,13.00,1404.00
ORD-0000075,CUST-000732,01/12/2023,delivered,2023-12-03,2023-12-17,MX,CARR-005,Correios,,3,2322.00,26.30,2348.30
ORD-0000076,CUST-000749,2026-04-27,delivered,2026-04-28,2026-05-03,MX,CARR-006,Sedex,,3,1037.00,11.58,1048.58
ORD-0000077,CUST-000578,2024-11-26,delivered,2024-11-27,2024-12-02,MX,CARR-004,DHL,,3,347.00,20.23,367.23
ORD-0000078,CUST-000479,2026-04-06,cancelled,,,GB,,,,4,2912.00,6.61,2918.61
