payment_id,order_id,method,status,amount,currency,paid_at
PAY-0000001,ORD-0000001,credit_card,captured,54.80,USD,2024-07-28 14:25:51
PAY-0000002,ORD-0000002,debit_card,captured,1218.64,USD,2026-01-13 15:03:00
PAY-0000003,ORD-0000003,credit_card,chargeback,4474.20,USD,2024-09-05 22:28:48
PAY-0000004,ORD-0000004,apple_pay,captured,1258.93,USD,2025-11-26 08:52:42
PAY-0000005,ORD-0000005,paypal,captured,1393.49,USD,2025-01-28 21:03:16
PAY-0000006,ORD-0000006,debit_card,captured,1529.17,USD,2025-09-18 12:46:27
PAY-0000007,ORD-0000007,crypto,refunded,43.66,USD,2026-02-17 22:18:48
PAY-0000008,ORD-0000008,credit_card,captured,181.63,USD,2024-12-11 12:41:09
PAY-0000009,ORD-0000009,credit_card,refunded,2172.61,USD,2025-04-24 22:51:40
PAY-0000010,ORD-0000010,credit_card,captured,1478.93,USD,2024-04-04 22:09:10
PAY-0000011,ORD-0000011,paypal,captured,375.19,USD,2025-01-31 18:23:06
PAY-0000012,ORD-0000012,pix,captured,253.07,USD,2023-12-25 01:46:43
PAY-0000013,ORD-0000013,debit_card,captured,1678.78,USD,2024-04-01 10:23:18
PAY-0000014,ORD-0000014,crypto,captured,1260.17,USD,2026-04-27 21:55:57
PAY-0000015,ORD-0000015,paypal,refunded,2554.44,USD,2026-03-12 17:41:49
PAY-0000016,ORD-0000016,credit_card,captured,85.19,USD,2022-03-15 21:14:43
PAY-0000017,ORD-0000017,debit_card,captured,542.08,USD,2024-06-06 17:45:27
PAY-0000018,ORD-0000018,paypal,captured,1946.86,USD,2024-12-01 17:37:02
PAY-0000019,ORD-0000019,crypto,captured,568.69,USD,2022-11-28 13:06:00
PAY-0000020,ORD-0000020,pix,refunded,1208.91,USD,2024-12-30 17:13:29
PAY-0000021,ORD-0000021,credit_card,captured,85.63,USD,2022-12-01 10:32:30
PAY-0000022,ORD-0000022,crypto,chargeback,765.17,USD,2026-03-31 03:50:39
PAY-0000023,ORD-0000023,boleto,captured,2478.29,USD,2024-01-27 06:33:08
PAY-0000024,ORD-0000024,apple_pay,captured,247.80,USD,2024-11-26 08:32:53
PAY-0000025,ORD-0000025,debit_card,captured,1421.46,USD,2026-04-01 10:55:15
PAY-0000026,ORD-0000026,credit_card,captured,1240.74,USD,2022-01-05 23:51:02
PAY-0000027,ORD-0000027,credit_card,captured,89.69,USD,2024-08-27 17:31:16
PAY-0000028,ORD-0000028,pix,captured,280.65,USD,2024-01-31 23:21:30
PAY-0000029,ORD-0000029,credit_card,captured,49.08,USD,2024-12-20 04:35:17
PAY-0000030,ORD-0000030,apple_pay,chargeback,788.52,USD,2025-03-24 02:19:25
PAY-0000031,ORD-0000031,credit_card,captured,1279.53,USD,2022-10-10 00:58:04
PAY-0000032,ORD-0000032,credit_card,captured,156.19,USD,2022-07-25 03:11:38
PAY-0000033,ORD-0000033,credit_card,captured,1033.55,USD,2023-11-24 22:12:22
PAY-0000034,ORD-0000034,crypto,captured,325.78,USD,2024-12-03 19:42:49
PAY-0000035,ORD-0000035,credit_card,captured,3702.57,USD,2024-03-26 17:03:23
PAY-0000036,ORD-0000036,debit_card,captured,26.67,USD,2022-01-13 16:28:11
PAY-0000037,ORD-0000037,paypal,captured,2743.74,USD,2022-11-20 05:07:23
PAY-0000038,ORD-0000038,paypal,captured,2133.91,USD,2022-01-19 19:18:00
PAY-0000039,ORD-0000039,pix,captured,378.23,USD,2025-11-27 06:57:10
PAY-0000040,ORD-0000040,paypal,captured,829.76,USD,2025-07-29 15:19:52
PAY-0000041,ORD-0000041,apple_pay,captured,1797.34,USD,2025-10-31 19:47:32
PAY-0000042,ORD-0000042,google_pay,captured,1017.41,USD,2023-11-27 10:50:45
PAY-0000043,ORD-0000043,google_pay,captured,1039.84,USD,2025-11-24 13:31:08
PAY-0000044,ORD-0000044,credit_card,captured,505.06,USD,2024-04-27 19:34:23
PAY-0000045,ORD-0000045,debit_card,chargeback,302.96,USD,2024-03-28 14:42:35
PAY-0000046,ORD-0000046,pix,captured,1956.36,USD,2022-12-15 00:49:29
