review_id,order_id,customer_id,rating,title,body,review_date,verified_purchase
REV-0000001,ORD-0007243,CUST-003970,4,Not what I expected,"Damaged when it arrived, returned right away.",2022-07-19,true
REV-0000002,ORD-0006433,CUST-001683,4,Great purchase,Not worth the price.,2025-07-23,true
REV-0000003,ORD-0001810,CUST-004090,4,Highly recommend,"Damaged when it arrived, returned right away.",2023-05-04,true
REV-0000004,ORD-0005212,CUST-000815,5,Not what I expected,Not worth the price.,2025-02-01,true
REV-0000005,ORD-0003681,CUST-000662,5,Quality issue,"Damaged when it arrived, returned right away.",2025-05-03,true
REV-0000006,ORD-0004002,CUST-003728,3,Not what I expected,Shipping took longer than promised.,2023-04-04,true
REV-0000007,ORD-0003855,CUST-002701,5,Excellent,"Damaged when it arrived, returned right away.",2023-11-29,true
REV-0000008,ORD-0001490,CUST-000675,2,Disappointed,Item was different from the photos.,2024-08-12,true
REV-0000009,ORD-0003424,CUST-000319,3,Loved it!,Arrived on time and matches the description.,2025-07-26,true
REV-0000010,ORD-0006020,CUST-001117,4,Not what I expected,"Five stars, would recommend.",2024-01-07,true
REV-0000011,ORD-0007126,CUST-000907,5,Would buy again,"Five stars, would recommend.",2025-12-12,true
REV-0000012,ORD-0001152,CUST-004769,4,Quality issue,Not worth the price.,2024-12-30,true
REV-0000013,ORD-0005835,CUST-004727,3,Loved it!,"Damaged when it arrived, returned right away.",2023-03-08,true
REV-0000014,ORD-0005174,CUST-004550,1,Loved it!,Item was different from the photos.,2025-09-20,true
REV-0000015,ORD-0001395,CUST-000600,5,Great purchase,"Damaged when it arrived, returned right away.",2024-08-09,true
REV-0000016,ORD-0005611,CUST-001215,4,Would buy again,"Average quality, decent value.",2025-08-03,true
REV-0000017,ORD-0002394,CUST-000912,5,Would buy again,Build quality is excellent.,2025-08-03,true
REV-0000018,ORD-0005641,CUST-004367,4,Highly recommend,Item was different from the photos.,2024-12-23,true
REV-0000019,ORD-0007004,CUST-002051,3,Could be better,"Damaged when it arrived, returned right away.",2023-10-31,true
REV-0000020,ORD-0005119,CUST-001473,5,Not what I expected,"Damaged when it arrived, returned right away.",2024-06-27,true
REV-0000021,ORD-0005343,CUST-003286,4,Returned,"Damaged when it arrived, returned right away.",2024-02-06,true
REV-0000022,ORD-0002650,CUST-001664,5,Disappointed,Shipping took longer than promised.,2022-07-23,true
REV-0000023,ORD-0007048,CUST-001916,5,Excellent,"Average quality, decent value.",2023-01-21,true
REV-0000024,ORD-0002423,CUST-001486,4,Quality issue,"Average quality, decent value.",2025-12-29,true
REV-0000025,ORD-0004002,CUST-003728,4,Excellent,Better than I expected for the price.,2023-03-26,true
REV-0000026,ORD-0001227,CUST-000951,3,Quality issue,Shipping took longer than promised.,2023-12-26,true
REV-0000027,ORD-0000067,CUST-001250,1,Excellent,Not worth the price.,2025-01-19,true
REV-0000028,ORD-0001330,CUST-000277,4,Disappointed,"Damaged when it arrived, returned right away.",2025-12-16,true
REV-0000029,ORD-0006698,CUST-003084,5,Not what I expected,Better than I expected for the price.,2025-07-01,true
REV-0000030,ORD-0002900,CUST-004415,4,Returned,Arrived on time and matches the description.,2025-09-29,true
REV-0000031,ORD-0002601,CUST-001852,4,Could be better,Not worth the price.,2024-05-05,true
REV-0000032,ORD-0002088,CUST-004174,5,Would buy again,Item was different from the photos.,2026-01-23,true
REV-0000033,ORD-0001918,CUST-003877,5,Would buy again,Shipping took longer than promised.,2025-05-19,true
REV-0000034,ORD-0006681,CUST-003245,5,Disappointed,"Damaged when it arrived, returned right away.",2025-04-25,true
REV-0000035,ORD-0000192,CUST-001026,5,Disappointed,Shipping took longer than promised.,2023-12-24,true
REV-0000036,ORD-0005236,CUST-003782,4,Great purchase,Not worth the price.,2023-07-18,true
REV-0000037,ORD-0007384,CUST-001288,5,Quality issue,"Damaged when it arrived, returned right away.",2022-08-10,true
REV-0000038,ORD-0004946,CUST-003833,3,Loved it!,"Average quality, decent value.",2024-01-29,true
REV-0000039,ORD-0001830,CUST-003559,4,Not what I expected,Arrived on time and matches the description.,2025-01-13,true
REV-0000040,ORD-0003217,CUST-003696,4,Could be better,"Damaged when it arrived, returned right away.",2024-08-22,true
REV-0000041,ORD-0003307,CUST-001371,5,Would buy again,Customer service was very responsive.,2024-04-11,true
REV-0000042,ORD-0003968,CUST-001304,4,Returned,Item was different from the photos.,2024-11-01,true
REV-0000043,ORD-0001178,CUST-001620,5,Quality issue,Item was different from the photos.,2025-02-25,true
REV-0000044,ORD-0003307,CUST-001371,3,Disappointed,Customer service was very responsive.,2024-04-12,true
REV-0000045,ORD-0002230,CUST-003723,5,Highly recommend,Arrived on time and matches the description.,2022-07-24,true
REV-0000046,ORD-0004682,CUST-001284,5,Excellent,Better than I expected for the price.,2024-10-16,true
REV-0000047,ORD-0003567,CUST-003831,5,Would buy again,"Five stars, would recommend.",2023-05-19,true
REV-0000048,ORD-0002837,CUST-001434,5,Quality issue,Build quality is excellent.,2024-01-05,true
REV-0000049,ORD-0002987,CUST-004276,5,Excellent,"Five stars, would recommend.",2023-01-26,true
REV-0000050,ORD-0002474,CUST-000665,5,Great purchase,Shipping took longer than promised.,2025-12-06,true
REV-0000051,ORD-0002705,CUST-001338,2,Could be better,Arrived on time and matches the description.,2026-04-07,true
REV-0000052,ORD-0003914,CUST-001840,4,Could be better,"Damaged when it arrived, returned right away.",2023-12-10,true
REV-0000053,ORD-0004273,CUST-004443,2,Would buy again,Shipping took longer than promised.,2025-01-06,true
REV-0000054,ORD-0005052,CUST-000295,4,Disappointed,Build quality is excellent.,2025-08-24,true
REV-0000055,ORD-0003869,CUST-003419,4,Could be better,"Average quality, decent value.",2025-06-30,true
REV-0000056,ORD-0005980,CUST-003818,5,Loved it!,Build quality is excellent.,2025-08-25,true
REV-0000057,ORD-0000720,CUST-001996,5,Would buy again,Not worth the price.,2026-01-03,true
REV-0000058,ORD-0001107,CUST-004903,4,Could be better,Customer service was very responsive.,2023-12-17,true
