event_id,order_id,carrier_id,event_type,event_at
SHIP-00000001,ORD-0000001,CARR-006,order_created,2024-07-28 14:00:51
SHIP-00000002,ORD-0000001,CARR-006,label_printed,2024-07-28 16:00:51
SHIP-00000003,ORD-0000001,CARR-006,handed_to_carrier,2024-07-28 22:00:51
SHIP-00000004,ORD-0000001,CARR-006,in_transit,2024-07-29 14:00:51
SHIP-00000005,ORD-0000001,CARR-006,delivered,2024-08-03 14:00:51
SHIP-00000006,ORD-0000002,CARR-001,order_created,2026-01-13 14:37:00
SHIP-00000007,ORD-0000002,CARR-001,label_printed,2026-01-13 16:37:00
SHIP-00000008,ORD-0000002,CARR-001,handed_to_carrier,2026-01-13 22:37:00
SHIP-00000009,ORD-0000002,CARR-001,in_transit,2026-01-14 14:37:00
SHIP-00000010,ORD-0000002,CARR-001,delivered,2026-01-19 14:37:00
SHIP-00000011,ORD-0000003,CARR-005,order_created,2024-09-05 22:22:48
SHIP-00000012,ORD-0000003,CARR-005,label_printed,2024-09-06 00:22:48
SHIP-00000013,ORD-0000003,CARR-005,handed_to_carrier,2024-09-06 06:22:48
SHIP-00000014,ORD-0000003,CARR-005,in_transit,2024-09-06 22:22:48
SHIP-00000015,ORD-0000004,CARR-001,order_created,2025-11-26 08:18:42
SHIP-00000016,ORD-0000004,CARR-001,label_printed,2025-11-26 10:18:42
SHIP-00000017,ORD-0000004,CARR-001,handed_to_carrier,2025-11-26 16:18:42
SHIP-00000018,ORD-0000004,CARR-001,in_transit,2025-11-27 08:18:42
SHIP-00000019,ORD-0000004,CARR-001,delivered,2025-12-07 08:18:42
SHIP-00000020,ORD-0000005,CARR-005,order_created,2025-01-28 20:07:16
SHIP-00000021,ORD-0000005,CARR-005,label_printed,2025-01-28 22:07:16
SHIP-00000022,ORD-0000005,CARR-005,handed_to_carrier,2025-01-29 04:07:16
SHIP-00000023,ORD-0000005,CARR-005,in_transit,2025-01-29 20:07:16
SHIP-00000024,ORD-0000005,CARR-005,delivered,2025-02-07 20:07:16
SHIP-00000025,ORD-0000006,CARR-007,order_created,2025-09-18 12:03:27
SHIP-00000026,ORD-0000006,CARR-007,label_printed,2025-09-18 14:03:27
SHIP-00000027,ORD-0000006,CARR-007,handed_to_carrier,2025-09-18 20:03:27
SHIP-00000028,ORD-0000006,CARR-007,in_transit,2025-09-19 12:03:27
SHIP-00000029,ORD-0000008,CARR-007,order_created,2024-12-11 11:55:09
SHIP-00000030,ORD-0000008,CARR-007,label_printed,2024-12-11 13:55:09
SHIP-00000031,ORD-0000008,CARR-007,handed_to_carrier,2024-12-11 19:55:09
SHIP-00000032,ORD-0000008,CARR-007,in_transit,2024-12-12 11:55:09
SHIP-00000033,ORD-0000010,CARR-006,order_created,2024-04-04 21:18:10
SHIP-00000034,ORD-0000010,CARR-006,label_printed,2024-04-04 23:18:10
SHIP-00000035,ORD-0000010,CARR-006,handed_to_carrier,2024-04-05 05:18:10
SHIP-00000036,ORD-0000010,CARR-006,in_transit,2024-04-05 21:18:10
SHIP-00000037,ORD-0000010,CARR-006,delivered,2024-04-12 21:18:10
SHIP-00000038,ORD-0000011,CARR-009,order_created,2025-01-31 17:28:06
SHIP-00000039,ORD-0000011,CARR-009,label_printed,2025-01-31 19:28:06
